,child-male-white,child-male-black,child-male-asian,child-male-indian,child-female-white,child-female-black,child-female-asian,child-female-indian,young-male-white,young-male-black,young-male-asian,young-male-indian,young-female-white,young-female-black,young-female-asian,young-female-indian,adult-male-white,adult-male-black,adult-male-asian,adult-male-indian,adult-female-white,adult-female-black,adult-female-asian,adult-female-indian,senior-male-white,senior-male-black,senior-male-asian,senior-male-indian,senior-female-white,senior-female-black,senior-female-asian,senior-female-indian,old-male-white,old-male-black,old-male-asian,old-male-indian,old-female-white,old-female-black,old-female-asian,old-female-indian
TP,83.0,102.0,38.0,78.0,49.0,111.0,34.0,63.0,64.0,106.0,43.0,100.0,39.0,46.0,58.0,66.0,29.0,34.0,52.0,69.0,31.0,41.0,37.0,58.0,97.0,80.0,77.0,91.0,99.0,100.0,108.0,96.0,59.0,116.0,118.0,114.0,73.0,82.0,95.0,115.0
TN,4818.0,4951.0,4952.0,4928.0,4943.0,4941.0,4978.0,4948.0,4892.0,4893.0,4968.0,4940.0,4947.0,4958.0,4959.0,4907.0,4851.0,4965.0,4891.0,4887.0,4942.0,4931.0,4965.0,4898.0,4689.0,4985.0,4969.0,4962.0,4759.0,4966.0,4946.0,5002.0,4982.0,4971.0,4968.0,4985.0,4922.0,4979.0,4973.0,4896.0
FP,168.0,33.0,19.0,63.0,59.0,50.0,15.0,21.0,68.0,81.0,7.0,40.0,24.0,15.0,18.0,81.0,147.0,24.0,100.0,90.0,48.0,54.0,26.0,85.0,291.0,13.0,21.0,13.0,211.0,16.0,33.0,1.0,11.0,8.0,14.0,0.0,73.0,0.0,21.0,99.0
FN,43.0,26.0,103.0,43.0,61.0,10.0,85.0,80.0,88.0,32.0,94.0,32.0,102.0,93.0,77.0,58.0,85.0,89.0,69.0,66.0,91.0,86.0,84.0,71.0,35.0,34.0,45.0,46.0,43.0,30.0,25.0,13.0,60.0,17.0,12.0,13.0,44.0,51.0,23.0,2.0
TPR,0.6587301587301587,0.796875,0.2695035460992908,0.6446280991735537,0.44545454545454544,0.9173553719008265,0.2857142857142857,0.4405594405594406,0.42105263157894735,0.7681159420289855,0.31386861313868614,0.7575757575757576,0.2765957446808511,0.33093525179856115,0.42962962962962964,0.532258064516129,0.2543859649122807,0.2764227642276423,0.4297520661157025,0.5111111111111111,0.2540983606557377,0.3228346456692913,0.30578512396694213,0.4496124031007752,0.7348484848484849,0.7017543859649122,0.6311475409836066,0.6642335766423357,0.6971830985915493,0.7692307692307693,0.8120300751879699,0.8807339449541285,0.4957983193277311,0.8721804511278195,0.9076923076923077,0.8976377952755905,0.6239316239316239,0.6165413533834586,0.8050847457627118,0.9829059829059829
Recall,0.6587301587301587,0.796875,0.2695035460992908,0.6446280991735537,0.44545454545454544,0.9173553719008265,0.2857142857142857,0.4405594405594406,0.42105263157894735,0.7681159420289855,0.31386861313868614,0.7575757575757576,0.2765957446808511,0.33093525179856115,0.42962962962962964,0.532258064516129,0.2543859649122807,0.2764227642276423,0.4297520661157025,0.5111111111111111,0.2540983606557377,0.3228346456692913,0.30578512396694213,0.4496124031007752,0.7348484848484849,0.7017543859649122,0.6311475409836066,0.6642335766423357,0.6971830985915493,0.7692307692307693,0.8120300751879699,0.8807339449541285,0.4957983193277311,0.8721804511278195,0.9076923076923077,0.8976377952755905,0.6239316239316239,0.6165413533834586,0.8050847457627118,0.9829059829059829
Sensitivity,0.6587301587301587,0.796875,0.2695035460992908,0.6446280991735537,0.44545454545454544,0.9173553719008265,0.2857142857142857,0.4405594405594406,0.42105263157894735,0.7681159420289855,0.31386861313868614,0.7575757575757576,0.2765957446808511,0.33093525179856115,0.42962962962962964,0.532258064516129,0.2543859649122807,0.2764227642276423,0.4297520661157025,0.5111111111111111,0.2540983606557377,0.3228346456692913,0.30578512396694213,0.4496124031007752,0.7348484848484849,0.7017543859649122,0.6311475409836066,0.6642335766423357,0.6971830985915493,0.7692307692307693,0.8120300751879699,0.8807339449541285,0.4957983193277311,0.8721804511278195,0.9076923076923077,0.8976377952755905,0.6239316239316239,0.6165413533834586,0.8050847457627118,0.9829059829059829
TNR,0.9663056558363418,0.9933788121990369,0.996177831422249,0.9873772791023843,0.9882047181127549,0.9899819675415749,0.9969957941117564,0.9957737975447776,0.9862903225806452,0.9837153196622437,0.9985929648241206,0.9919678714859438,0.9951719975859988,0.9969837120450432,0.9963833634719711,0.9837610264635124,0.9705882352941176,0.995189416716777,0.9799639350831497,0.9819168173598554,0.9903807615230461,0.9891675025075226,0.9947906231216189,0.9829420028095525,0.941566265060241,0.9973989595838335,0.9957915831663327,0.9973869346733668,0.9575452716297786,0.9967884383781613,0.9933721630849568,0.9998001199280432,0.9977969156819547,0.9983932516569592,0.9971898835808912,1.0,0.9853853853853853,1.0,0.9957949539447337,0.9801801801801802
Specificity,0.9663056558363418,0.9933788121990369,0.996177831422249,0.9873772791023843,0.9882047181127549,0.9899819675415749,0.9969957941117564,0.9957737975447776,0.9862903225806452,0.9837153196622437,0.9985929648241206,0.9919678714859438,0.9951719975859988,0.9969837120450432,0.9963833634719711,0.9837610264635124,0.9705882352941176,0.995189416716777,0.9799639350831497,0.9819168173598554,0.9903807615230461,0.9891675025075226,0.9947906231216189,0.9829420028095525,0.941566265060241,0.9973989595838335,0.9957915831663327,0.9973869346733668,0.9575452716297786,0.9967884383781613,0.9933721630849568,0.9998001199280432,0.9977969156819547,0.9983932516569592,0.9971898835808912,1.0,0.9853853853853853,1.0,0.9957949539447337,0.9801801801801802
FPR,0.03369434416365824,0.006621187800963082,0.0038221685777509555,0.012622720897615708,0.011795281887245102,0.010018032458425166,0.003004205888243541,0.004226202455222379,0.013709677419354839,0.016284680337756333,0.001407035175879397,0.008032128514056224,0.004828002414001207,0.0030162879549567667,0.003616636528028933,0.01623897353648757,0.029411764705882353,0.004810583283223091,0.02003606491685033,0.018083182640144666,0.009619238476953907,0.010832497492477432,0.005209376878381086,0.01705799719044752,0.058433734939759036,0.0026010404161664665,0.004208416833667334,0.0026130653266331657,0.04245472837022133,0.003211561621838619,0.006627836915043182,0.0001998800719568259,0.0022030843180452634,0.0016067483430407712,0.0028101164191087916,0.0,0.014614614614614614,0.0,0.00420504605526632,0.01981981981981982
