,child+male+white,child+male+black,child+male+asian,child+male+indian,child+female+white,child+female+black,child+female+asian,child+female+indian,young+male+white,young+male+black,young+male+asian,young+male+indian,young+female+white,young+female+black,young+female+asian,young+female+indian,adult+male+white,adult+male+black,adult+male+asian,adult+male+indian,adult+female+white,adult+female+black,adult+female+asian,adult+female+indian,senior+male+white,senior+male+black,senior+male+asian,senior+male+indian,senior+female+white,senior+female+black,senior+female+asian,senior+female+indian,old+male+white,old+male+black,old+male+asian,old+male+indian,old+female+white,old+female+black,old+female+asian,old+female+indian
TP,42.0,94.0,75.0,72.0,71.0,105.0,58.0,84.0,34.0,61.0,92.0,74.0,29.0,82.0,40.0,74.0,53.0,61.0,65.0,75.0,36.0,38.0,42.0,46.0,66.0,94.0,69.0,102.0,72.0,97.0,95.0,103.0,85.0,90.0,111.0,109.0,64.0,106.0,102.0,109.0
TN,4363.0,4372.0,4339.0,4351.0,4326.0,4358.0,4357.0,4333.0,4379.0,4369.0,4301.0,4343.0,4371.0,4357.0,4364.0,4340.0,4215.0,4316.0,4291.0,4288.0,4334.0,4361.0,4354.0,4367.0,4333.0,4320.0,4391.0,4369.0,4335.0,4379.0,4364.0,4367.0,4357.0,4396.0,4366.0,4381.0,4378.0,4364.0,4345.0,4383.0
FP,21.0,12.0,52.0,34.0,59.0,24.0,37.0,44.0,18.0,19.0,71.0,52.0,10.0,35.0,4.0,47.0,192.0,71.0,97.0,81.0,53.0,19.0,30.0,14.0,62.0,82.0,9.0,13.0,51.0,13.0,13.0,14.0,40.0,5.0,20.0,10.0,20.0,26.0,46.0,3.0
FN,74.0,22.0,34.0,43.0,44.0,13.0,48.0,39.0,69.0,51.0,36.0,31.0,90.0,26.0,92.0,39.0,40.0,52.0,47.0,56.0,77.0,82.0,74.0,73.0,39.0,4.0,31.0,16.0,42.0,11.0,28.0,16.0,18.0,9.0,3.0,0.0,38.0,4.0,7.0,5.0
TPR,0.3620689655172414,0.8103448275862069,0.6880733944954128,0.6260869565217392,0.6173913043478261,0.8898305084745762,0.5471698113207547,0.6829268292682927,0.3300970873786408,0.5446428571428571,0.71875,0.7047619047619048,0.24369747899159663,0.7592592592592593,0.30303030303030304,0.6548672566371682,0.5698924731182796,0.5398230088495575,0.5803571428571429,0.5725190839694656,0.3185840707964602,0.31666666666666665,0.3620689655172414,0.3865546218487395,0.6285714285714286,0.9591836734693877,0.69,0.864406779661017,0.631578947368421,0.8981481481481481,0.7723577235772358,0.865546218487395,0.8252427184466019,0.9090909090909091,0.9736842105263158,1.0,0.6274509803921569,0.9636363636363636,0.9357798165137615,0.956140350877193
Recall,0.3620689655172414,0.8103448275862069,0.6880733944954128,0.6260869565217392,0.6173913043478261,0.8898305084745762,0.5471698113207547,0.6829268292682927,0.3300970873786408,0.5446428571428571,0.71875,0.7047619047619048,0.24369747899159663,0.7592592592592593,0.30303030303030304,0.6548672566371682,0.5698924731182796,0.5398230088495575,0.5803571428571429,0.5725190839694656,0.3185840707964602,0.31666666666666665,0.3620689655172414,0.3865546218487395,0.6285714285714286,0.9591836734693877,0.69,0.864406779661017,0.631578947368421,0.8981481481481481,0.7723577235772358,0.865546218487395,0.8252427184466019,0.9090909090909091,0.9736842105263158,1.0,0.6274509803921569,0.9636363636363636,0.9357798165137615,0.956140350877193
Sensitivity,0.3620689655172414,0.8103448275862069,0.6880733944954128,0.6260869565217392,0.6173913043478261,0.8898305084745762,0.5471698113207547,0.6829268292682927,0.3300970873786408,0.5446428571428571,0.71875,0.7047619047619048,0.24369747899159663,0.7592592592592593,0.30303030303030304,0.6548672566371682,0.5698924731182796,0.5398230088495575,0.5803571428571429,0.5725190839694656,0.3185840707964602,0.31666666666666665,0.3620689655172414,0.3865546218487395,0.6285714285714286,0.9591836734693877,0.69,0.864406779661017,0.631578947368421,0.8981481481481481,0.7723577235772358,0.865546218487395,0.8252427184466019,0.9090909090909091,0.9736842105263158,1.0,0.6274509803921569,0.9636363636363636,0.9357798165137615,0.956140350877193
TNR,0.9952098540145985,0.9972627737226277,0.9881575950808472,0.9922462941847207,0.98654503990878,0.9945230488361478,0.9915794264906691,0.9899474525931004,0.9959062997498295,0.9956700091157703,0.9837602927721867,0.9881683731513083,0.9977174161150423,0.9920309653916212,0.9990842490842491,0.9892865283793025,0.95643294758339,0.9838158194666059,0.977894257064722,0.9814602883955138,0.9879188511511283,0.995662100456621,0.9931569343065694,0.9968043825610591,0.9858930602957907,0.9813721035892776,0.9979545454545454,0.9970333181195801,0.9883720930232558,0.9970400728597449,0.9970299291752341,0.9968043825610591,0.9909028883329543,0.998863894569416,0.9954400364797081,0.9977226144386244,0.9954524783992724,0.9940774487471526,0.9895240264176726,0.9993160054719562
Specificity,0.9952098540145985,0.9972627737226277,0.9881575950808472,0.9922462941847207,0.98654503990878,0.9945230488361478,0.9915794264906691,0.9899474525931004,0.9959062997498295,0.9956700091157703,0.9837602927721867,0.9881683731513083,0.9977174161150423,0.9920309653916212,0.9990842490842491,0.9892865283793025,0.95643294758339,0.9838158194666059,0.977894257064722,0.9814602883955138,0.9879188511511283,0.995662100456621,0.9931569343065694,0.9968043825610591,0.9858930602957907,0.9813721035892776,0.9979545454545454,0.9970333181195801,0.9883720930232558,0.9970400728597449,0.9970299291752341,0.9968043825610591,0.9909028883329543,0.998863894569416,0.9954400364797081,0.9977226144386244,0.9954524783992724,0.9940774487471526,0.9895240264176726,0.9993160054719562
FPR,0.00479014598540146,0.002737226277372263,0.011842404919152812,0.007753705815279362,0.013454960091220068,0.005476951163852123,0.008420573509330906,0.010052547406899703,0.0040937002501705705,0.004329990884229718,0.016239707227813358,0.011831626848691695,0.0022825838849577723,0.007969034608378871,0.0009157509157509158,0.010713471620697515,0.043567052416609936,0.01618418053339412,0.02210574293527803,0.018539711604486152,0.012081148848871666,0.0043378995433789955,0.006843065693430657,0.003195617438940881,0.014106939704209329,0.0186278964107224,0.0020454545454545456,0.0029666818804198994,0.011627906976744186,0.002959927140255009,0.002970070824765821,0.003195617438940881,0.009097111667045714,0.0011361054305839581,0.004559963520291838,0.002277385561375541,0.004547521600727604,0.00592255125284738,0.010475973582327488,0.0006839945280437756
