,child+male+white,child+male+black,child+male+asian,child+male+indian,child+female+white,child+female+black,child+female+asian,child+female+indian,young+male+white,young+male+black,young+male+asian,young+male+indian,young+female+white,young+female+black,young+female+asian,young+female+indian,adult+male+white,adult+male+black,adult+male+asian,adult+male+indian,adult+female+white,adult+female+black,adult+female+asian,adult+female+indian,senior+male+white,senior+male+black,senior+male+asian,senior+male+indian,senior+female+white,senior+female+black,senior+female+asian,senior+female+indian,old+male+white,old+male+black,old+male+asian,old+male+indian,old+female+white,old+female+black,old+female+asian,old+female+indian
TP,73.0,1.0,95.0,14.0,62.0,4.0,44.0,26.0,36.0,3.0,3.0,4.0,27.0,6.0,26.0,21.0,689.0,351.0,118.0,202.0,343.0,211.0,120.0,77.0,19.0,3.0,9.0,2.0,47.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0
TN,4706.0,4925.0,4721.0,4880.0,4729.0,4921.0,4802.0,4848.0,4726.0,4886.0,4892.0,4889.0,4769.0,4865.0,4780.0,4802.0,3543.0,4238.0,4649.0,4469.0,4178.0,4503.0,4640.0,4683.0,4782.0,4905.0,4894.0,4926.0,4804.0,4931.0,4933.0,4939.0,4922.0,4941.0,4937.0,4945.0,4875.0,4939.0,4940.0,4945.0
FP,85.0,3.0,107.0,17.0,29.0,4.0,42.0,15.0,97.0,5.0,19.0,18.0,38.0,6.0,73.0,54.0,613.0,290.0,99.0,96.0,213.0,83.0,91.0,35.0,37.0,13.0,23.0,4.0,40.0,1.0,8.0,0.0,3.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0
FN,82.0,17.0,23.0,35.0,126.0,17.0,58.0,57.0,87.0,52.0,32.0,35.0,112.0,69.0,67.0,69.0,101.0,67.0,80.0,179.0,212.0,149.0,95.0,151.0,108.0,25.0,20.0,14.0,55.0,13.0,5.0,7.0,20.0,5.0,7.0,0.0,27.0,7.0,6.0,1.0
TPR,0.47096774193548385,0.05555555555555555,0.8050847457627118,0.2857142857142857,0.32978723404255317,0.19047619047619047,0.43137254901960786,0.3132530120481928,0.2926829268292683,0.05454545454545454,0.08571428571428572,0.10256410256410256,0.19424460431654678,0.08,0.27956989247311825,0.23333333333333334,0.8721518987341772,0.8397129186602871,0.5959595959595959,0.5301837270341208,0.618018018018018,0.5861111111111111,0.5581395348837209,0.33771929824561403,0.14960629921259844,0.10714285714285714,0.3103448275862069,0.125,0.46078431372549017,0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.125,0.0,0.35714285714285715,0.0,0.0,0.0
Recall,0.47096774193548385,0.05555555555555555,0.8050847457627118,0.2857142857142857,0.32978723404255317,0.19047619047619047,0.43137254901960786,0.3132530120481928,0.2926829268292683,0.05454545454545454,0.08571428571428572,0.10256410256410256,0.19424460431654678,0.08,0.27956989247311825,0.23333333333333334,0.8721518987341772,0.8397129186602871,0.5959595959595959,0.5301837270341208,0.618018018018018,0.5861111111111111,0.5581395348837209,0.33771929824561403,0.14960629921259844,0.10714285714285714,0.3103448275862069,0.125,0.46078431372549017,0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.125,0.0,0.35714285714285715,0.0,0.0,0.0
Sensitivity,0.47096774193548385,0.05555555555555555,0.8050847457627118,0.2857142857142857,0.32978723404255317,0.19047619047619047,0.43137254901960786,0.3132530120481928,0.2926829268292683,0.05454545454545454,0.08571428571428572,0.10256410256410256,0.19424460431654678,0.08,0.27956989247311825,0.23333333333333334,0.8721518987341772,0.8397129186602871,0.5959595959595959,0.5301837270341208,0.618018018018018,0.5861111111111111,0.5581395348837209,0.33771929824561403,0.14960629921259844,0.10714285714285714,0.3103448275862069,0.125,0.46078431372549017,0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.125,0.0,0.35714285714285715,0.0,0.0,0.0
TNR,0.9822584011688583,0.9993912337662337,0.977837613918807,0.9965284868286706,0.9939050021017234,0.9991878172588833,0.9913294797687862,0.9969154842689698,0.9798880364918101,0.9989777141688816,0.9961311341885563,0.9963317709394742,0.9920948616600791,0.9987682200780127,0.9849577580877807,0.9888797364085667,0.852502406159769,0.9359540636042403,0.9791491154170177,0.9789704271631983,0.951491687542701,0.981901439162669,0.9807651659268654,0.9925816023738873,0.9923220585183649,0.997356649044327,0.995322351027049,0.9991886409736308,0.9917423616845582,0.9997972424979724,0.998380894555758,1.0,0.9993908629441625,1.0,0.9997974888618874,0.9997978164173069,0.9940864600326265,1.0,1.0,1.0
Specificity,0.9822584011688583,0.9993912337662337,0.977837613918807,0.9965284868286706,0.9939050021017234,0.9991878172588833,0.9913294797687862,0.9969154842689698,0.9798880364918101,0.9989777141688816,0.9961311341885563,0.9963317709394742,0.9920948616600791,0.9987682200780127,0.9849577580877807,0.9888797364085667,0.852502406159769,0.9359540636042403,0.9791491154170177,0.9789704271631983,0.951491687542701,0.981901439162669,0.9807651659268654,0.9925816023738873,0.9923220585183649,0.997356649044327,0.995322351027049,0.9991886409736308,0.9917423616845582,0.9997972424979724,0.998380894555758,1.0,0.9993908629441625,1.0,0.9997974888618874,0.9997978164173069,0.9940864600326265,1.0,1.0,1.0
FPR,0.017741598831141726,0.0006087662337662338,0.02216238608119304,0.0034715131713293854,0.006094997898276587,0.0008121827411167512,0.008670520231213872,0.0030845157310302285,0.020111963508189924,0.0010222858311183807,0.003868865811443698,0.0036682290605257795,0.007905138339920948,0.0012317799219872716,0.015042241912219246,0.011120263591433279,0.14749759384023098,0.06404593639575971,0.02085088458298231,0.021029572836801753,0.04850831245729902,0.018098560837331006,0.019234834073134643,0.00741839762611276,0.007677941481635194,0.0026433509556730377,0.004677648972950987,0.0008113590263691683,0.008257638315441783,0.00020275750202757503,0.0016191054442420564,0.0,0.0006091370558375635,0.0,0.0002025111381125962,0.0002021835826930853,0.0059135399673735725,0.0,0.0,0.0
