,child+male+white,child+male+black,child+male+asian,child+male+indian,child+female+white,child+female+black,child+female+asian,child+female+indian,young+male+white,young+male+black,young+male+asian,young+male+indian,young+female+white,young+female+black,young+female+asian,young+female+indian,adult+male+white,adult+male+black,adult+male+asian,adult+male+indian,adult+female+white,adult+female+black,adult+female+asian,adult+female+indian,senior+male+white,senior+male+black,senior+male+asian,senior+male+indian,senior+female+white,senior+female+black,senior+female+asian,senior+female+indian,old+male+white,old+male+black,old+male+asian,old+male+indian,old+female+white,old+female+black,old+female+asian,old+female+indian
TP,101.0,148.0,123.0,144.0,107.0,163.0,127.0,116.0,111.0,131.0,137.0,120.0,124.0,135.0,129.0,110.0,80.0,81.0,130.0,107.0,78.0,82.0,109.0,93.0,122.0,124.0,147.0,137.0,116.0,148.0,152.0,146.0,152.0,122.0,139.0,149.0,154.0,121.0,136.0,151.0
TN,6291.0,6309.0,6278.0,6238.0,6258.0,6279.0,6272.0,6296.0,6275.0,6263.0,6286.0,6281.0,6246.0,6249.0,6259.0,6288.0,6263.0,6294.0,6279.0,6277.0,6237.0,6264.0,6285.0,6277.0,6259.0,6317.0,6296.0,6311.0,6280.0,6323.0,6292.0,6310.0,6285.0,6340.0,6322.0,6326.0,6273.0,6344.0,6328.0,6306.0
FP,55.0,24.0,58.0,69.0,62.0,31.0,41.0,43.0,62.0,60.0,46.0,66.0,65.0,49.0,59.0,45.0,54.0,50.0,23.0,45.0,70.0,77.0,40.0,64.0,61.0,34.0,31.0,27.0,61.0,14.0,38.0,23.0,33.0,15.0,13.0,3.0,36.0,13.0,13.0,20.0
FN,44.0,10.0,32.0,40.0,64.0,18.0,51.0,36.0,43.0,37.0,22.0,24.0,56.0,58.0,44.0,48.0,94.0,66.0,59.0,62.0,106.0,68.0,57.0,57.0,49.0,16.0,17.0,16.0,34.0,6.0,9.0,12.0,21.0,14.0,17.0,13.0,28.0,13.0,14.0,14.0
TPR,0.696551724137931,0.9367088607594937,0.7935483870967742,0.782608695652174,0.6257309941520468,0.9005524861878453,0.7134831460674157,0.7631578947368421,0.7207792207792207,0.7797619047619048,0.8616352201257862,0.8333333333333334,0.6888888888888889,0.6994818652849741,0.7456647398843931,0.6962025316455697,0.45977011494252873,0.5510204081632653,0.6878306878306878,0.6331360946745562,0.42391304347826086,0.5466666666666666,0.6566265060240963,0.62,0.7134502923976608,0.8857142857142857,0.8963414634146342,0.8954248366013072,0.7733333333333333,0.961038961038961,0.9440993788819876,0.9240506329113924,0.8786127167630058,0.8970588235294118,0.8910256410256411,0.9197530864197531,0.8461538461538461,0.9029850746268657,0.9066666666666666,0.9151515151515152
Recall,0.696551724137931,0.9367088607594937,0.7935483870967742,0.782608695652174,0.6257309941520468,0.9005524861878453,0.7134831460674157,0.7631578947368421,0.7207792207792207,0.7797619047619048,0.8616352201257862,0.8333333333333334,0.6888888888888889,0.6994818652849741,0.7456647398843931,0.6962025316455697,0.45977011494252873,0.5510204081632653,0.6878306878306878,0.6331360946745562,0.42391304347826086,0.5466666666666666,0.6566265060240963,0.62,0.7134502923976608,0.8857142857142857,0.8963414634146342,0.8954248366013072,0.7733333333333333,0.961038961038961,0.9440993788819876,0.9240506329113924,0.8786127167630058,0.8970588235294118,0.8910256410256411,0.9197530864197531,0.8461538461538461,0.9029850746268657,0.9066666666666666,0.9151515151515152
Sensitivity,0.696551724137931,0.9367088607594937,0.7935483870967742,0.782608695652174,0.6257309941520468,0.9005524861878453,0.7134831460674157,0.7631578947368421,0.7207792207792207,0.7797619047619048,0.8616352201257862,0.8333333333333334,0.6888888888888889,0.6994818652849741,0.7456647398843931,0.6962025316455697,0.45977011494252873,0.5510204081632653,0.6878306878306878,0.6331360946745562,0.42391304347826086,0.5466666666666666,0.6566265060240963,0.62,0.7134502923976608,0.8857142857142857,0.8963414634146342,0.8954248366013072,0.7733333333333333,0.961038961038961,0.9440993788819876,0.9240506329113924,0.8786127167630058,0.8970588235294118,0.8910256410256411,0.9197530864197531,0.8461538461538461,0.9029850746268657,0.9066666666666666,0.9151515151515152
TNR,0.9913331232272298,0.9962103268593084,0.9908459595959596,0.9890597748533375,0.9901898734177215,0.9950871632329635,0.9935054649136702,0.9932165956775517,0.9902161906264794,0.9905108334651274,0.99273531269741,0.9896013864818024,0.9897005228965299,0.9922197523023182,0.9906616017727129,0.9928943628612033,0.9914516384359664,0.9921185372005045,0.9963503649635036,0.9928819993672888,0.9889012208657048,0.9878568049203595,0.9936758893280633,0.9899069547390001,0.9903481012658227,0.9946465123602583,0.9951003635214162,0.9957399810665826,0.9903800662356095,0.9977907527221083,0.993996840442338,0.9963682299068372,0.9947768281101614,0.997639653815893,0.997947908445146,0.9995259914678464,0.9942938659058488,0.9979550102249489,0.9979498501813594,0.9968384445147013
Specificity,0.9913331232272298,0.9962103268593084,0.9908459595959596,0.9890597748533375,0.9901898734177215,0.9950871632329635,0.9935054649136702,0.9932165956775517,0.9902161906264794,0.9905108334651274,0.99273531269741,0.9896013864818024,0.9897005228965299,0.9922197523023182,0.9906616017727129,0.9928943628612033,0.9914516384359664,0.9921185372005045,0.9963503649635036,0.9928819993672888,0.9889012208657048,0.9878568049203595,0.9936758893280633,0.9899069547390001,0.9903481012658227,0.9946465123602583,0.9951003635214162,0.9957399810665826,0.9903800662356095,0.9977907527221083,0.993996840442338,0.9963682299068372,0.9947768281101614,0.997639653815893,0.997947908445146,0.9995259914678464,0.9942938659058488,0.9979550102249489,0.9979498501813594,0.9968384445147013
FPR,0.00866687677277025,0.0037896731406916154,0.009154040404040404,0.010940225146662439,0.009810126582278481,0.00491283676703645,0.006494535086329796,0.006783404322448336,0.009783809373520594,0.009489166534872686,0.007264687302590019,0.010398613518197574,0.010299477103470131,0.0077802476976818035,0.009338398227287116,0.0071056371387967785,0.00854836156403356,0.007881462799495587,0.0036496350364963502,0.0071180006327111675,0.011098779134295227,0.012143195079640436,0.006324110671936759,0.010093045260999842,0.009651898734177215,0.005353487639741773,0.004899636478583847,0.004260018933417482,0.009619933764390475,0.002209247277891747,0.006003159557661927,0.003631770093162798,0.0052231718898385565,0.0023603461841070024,0.002052091554853986,0.0004740085321535788,0.005706134094151213,0.002044989775051125,0.002050149818640593,0.003161555485298767
FNR,0.30344827586206896,0.06329113924050633,0.2064516129032258,0.21739130434782608,0.3742690058479532,0.09944751381215469,0.28651685393258425,0.23684210526315788,0.2792207792207792,0.22023809523809523,0.13836477987421383,0.16666666666666666,0.3111111111111111,0.3005181347150259,0.2543352601156069,0.3037974683544304,0.5402298850574713,0.4489795918367347,0.31216931216931215,0.3668639053254438,0.5760869565217391,0.4533333333333333,0.3433734939759036,0.38,0.28654970760233917,0.11428571428571428,0.10365853658536585,0.10457516339869281,0.22666666666666666,0.03896103896103896,0.055900621118012424,0.0759493670886076,0.12138728323699421,0.10294117647058823,0.10897435897435898,0.08024691358024691,0.15384615384615385,0.09701492537313433,0.09333333333333334,0.08484848484848485
PPV,0.6474358974358975,0.8604651162790697,0.6795580110497238,0.676056338028169,0.6331360946745562,0.8402061855670103,0.7559523809523809,0.7295597484276729,0.6416184971098265,0.6858638743455497,0.7486338797814208,0.6451612903225806,0.656084656084656,0.7336956521739131,0.6861702127659575,0.7096774193548387,0.5970149253731343,0.6183206106870229,0.8496732026143791,0.7039473684210527,0.527027027027027,0.5157232704402516,0.7315436241610739,0.5923566878980892,0.6666666666666666,0.7848101265822784,0.8258426966292135,0.8353658536585366,0.655367231638418,0.9135802469135802,0.8,0.863905325443787,0.8216216216216217,0.8905109489051095,0.9144736842105263,0.9802631578947368,0.8105263157894737,0.9029850746268657,0.912751677852349,0.8830409356725146
Precision,0.6474358974358975,0.8604651162790697,0.6795580110497238,0.676056338028169,0.6331360946745562,0.8402061855670103,0.7559523809523809,0.7295597484276729,0.6416184971098265,0.6858638743455497,0.7486338797814208,0.6451612903225806,0.656084656084656,0.7336956521739131,0.6861702127659575,0.7096774193548387,0.5970149253731343,0.6183206106870229,0.8496732026143791,0.7039473684210527,0.527027027027027,0.5157232704402516,0.7315436241610739,0.5923566878980892,0.6666666666666666,0.7848101265822784,0.8258426966292135,0.8353658536585366,0.655367231638418,0.9135802469135802,0.8,0.863905325443787,0.8216216216216217,0.8905109489051095,0.9144736842105263,0.9802631578947368,0.8105263157894737,0.9029850746268657,0.912751677852349,0.8830409356725146
F1 Score,0.6710963455149501,0.8969696969696971,0.7321428571428571,0.7254408060453401,0.6294117647058824,0.8693333333333333,0.7341040462427747,0.7459807073954984,0.6788990825688073,0.7298050139275767,0.8011695906432749,0.7272727272727272,0.6720867208672087,0.7161803713527852,0.7146814404432134,0.7028753993610224,0.5194805194805195,0.5827338129496402,0.7602339181286549,0.6666666666666667,0.4698795180722891,0.5307443365695792,0.692063492063492,0.6058631921824105,0.6892655367231638,0.8322147651006712,0.8596491228070176,0.8643533123028391,0.7094801223241591,0.9367088607594937,0.8660968660968661,0.8929663608562691,0.8491620111731844,0.8937728937728938,0.9025974025974026,0.9490445859872612,0.8279569892473119,0.9029850746268657,0.9096989966555183,0.8988095238095237
Support,145.0,158.0,155.0,184.0,171.0,181.0,178.0,152.0,154.0,168.0,159.0,144.0,180.0,193.0,173.0,158.0,174.0,147.0,189.0,169.0,184.0,150.0,166.0,150.0,171.0,140.0,164.0,153.0,150.0,154.0,161.0,158.0,173.0,136.0,156.0,162.0,182.0,134.0,150.0,165.0
