,child+male+white,child+male+black,child+male+asian,child+male+indian,child+female+white,child+female+black,child+female+asian,child+female+indian,young+male+white,young+male+black,young+male+asian,young+male+indian,young+female+white,young+female+black,young+female+asian,young+female+indian,adult+male+white,adult+male+black,adult+male+asian,adult+male+indian,adult+female+white,adult+female+black,adult+female+asian,adult+female+indian,senior+male+white,senior+male+black,senior+male+asian,senior+male+indian,senior+female+white,senior+female+black,senior+female+asian,senior+female+indian,old+male+white,old+male+black,old+male+asian,old+male+indian,old+female+white,old+female+black,old+female+asian,old+female+indian
TP,104.0,136.0,100.0,114.0,113.0,119.0,96.0,105.0,110.0,105.0,113.0,108.0,91.0,119.0,94.0,101.0,72.0,81.0,107.0,100.0,72.0,72.0,101.0,97.0,116.0,141.0,147.0,125.0,100.0,129.0,140.0,148.0,125.0,134.0,134.0,121.0,120.0,131.0,132.0,146.0
TN,5519.0,5538.0,5530.0,5530.0,5507.0,5565.0,5513.0,5554.0,5511.0,5549.0,5536.0,5548.0,5514.0,5505.0,5528.0,5541.0,5509.0,5551.0,5531.0,5512.0,5527.0,5544.0,5507.0,5513.0,5491.0,5552.0,5545.0,5571.0,5518.0,5575.0,5554.0,5543.0,5556.0,5572.0,5569.0,5576.0,5539.0,5577.0,5559.0,5548.0
FP,55.0,25.0,26.0,39.0,45.0,16.0,62.0,26.0,53.0,37.0,42.0,36.0,54.0,50.0,47.0,29.0,50.0,34.0,10.0,42.0,55.0,47.0,51.0,47.0,54.0,6.0,13.0,15.0,51.0,5.0,19.0,21.0,22.0,7.0,8.0,16.0,29.0,5.0,13.0,18.0
FN,35.0,14.0,57.0,30.0,48.0,13.0,42.0,28.0,39.0,22.0,22.0,21.0,54.0,39.0,44.0,42.0,82.0,47.0,65.0,59.0,59.0,50.0,54.0,56.0,52.0,14.0,8.0,2.0,44.0,4.0,0.0,1.0,10.0,0.0,2.0,0.0,25.0,0.0,9.0,1.0
TPR,0.7482014388489209,0.9066666666666666,0.6369426751592356,0.7916666666666666,0.7018633540372671,0.9015151515151515,0.6956521739130435,0.7894736842105263,0.738255033557047,0.8267716535433071,0.837037037037037,0.8372093023255814,0.6275862068965518,0.7531645569620253,0.6811594202898551,0.7062937062937062,0.4675324675324675,0.6328125,0.622093023255814,0.6289308176100629,0.549618320610687,0.5901639344262295,0.6516129032258065,0.6339869281045751,0.6904761904761905,0.9096774193548387,0.9483870967741935,0.984251968503937,0.6944444444444444,0.9699248120300752,1.0,0.9932885906040269,0.9259259259259259,1.0,0.9852941176470589,1.0,0.8275862068965517,1.0,0.9361702127659575,0.9931972789115646
Recall,0.7482014388489209,0.9066666666666666,0.6369426751592356,0.7916666666666666,0.7018633540372671,0.9015151515151515,0.6956521739130435,0.7894736842105263,0.738255033557047,0.8267716535433071,0.837037037037037,0.8372093023255814,0.6275862068965518,0.7531645569620253,0.6811594202898551,0.7062937062937062,0.4675324675324675,0.6328125,0.622093023255814,0.6289308176100629,0.549618320610687,0.5901639344262295,0.6516129032258065,0.6339869281045751,0.6904761904761905,0.9096774193548387,0.9483870967741935,0.984251968503937,0.6944444444444444,0.9699248120300752,1.0,0.9932885906040269,0.9259259259259259,1.0,0.9852941176470589,1.0,0.8275862068965517,1.0,0.9361702127659575,0.9931972789115646
Sensitivity,0.7482014388489209,0.9066666666666666,0.6369426751592356,0.7916666666666666,0.7018633540372671,0.9015151515151515,0.6956521739130435,0.7894736842105263,0.738255033557047,0.8267716535433071,0.837037037037037,0.8372093023255814,0.6275862068965518,0.7531645569620253,0.6811594202898551,0.7062937062937062,0.4675324675324675,0.6328125,0.622093023255814,0.6289308176100629,0.549618320610687,0.5901639344262295,0.6516129032258065,0.6339869281045751,0.6904761904761905,0.9096774193548387,0.9483870967741935,0.984251968503937,0.6944444444444444,0.9699248120300752,1.0,0.9932885906040269,0.9259259259259259,1.0,0.9852941176470589,1.0,0.8275862068965517,1.0,0.9361702127659575,0.9931972789115646
TNR,0.9901327592393254,0.995506021930613,0.9953203743700504,0.9929969473873227,0.9918948126801153,0.9971331302633937,0.9888789237668162,0.9953405017921146,0.9904744787922358,0.9933762978875761,0.992470419505199,0.9935530085959885,0.990301724137931,0.990999099909991,0.9915695067264574,0.9947935368043088,0.9910055765425436,0.9939122649955238,0.9981952716116225,0.99243788260713,0.9901469007524185,0.9915936326238598,0.9908240374235336,0.991546762589928,0.9902614968440036,0.998920474991004,0.9976610291471752,0.9973147153598282,0.9908421619680373,0.9991039426523297,0.9965907051857168,0.9962257368799425,0.9960559340265328,0.998745294855709,0.9985655370270755,0.9971387696709585,0.9947916666666666,0.9991042637047653,0.9976669059583633,0.9967660797700323
Specificity,0.9901327592393254,0.995506021930613,0.9953203743700504,0.9929969473873227,0.9918948126801153,0.9971331302633937,0.9888789237668162,0.9953405017921146,0.9904744787922358,0.9933762978875761,0.992470419505199,0.9935530085959885,0.990301724137931,0.990999099909991,0.9915695067264574,0.9947935368043088,0.9910055765425436,0.9939122649955238,0.9981952716116225,0.99243788260713,0.9901469007524185,0.9915936326238598,0.9908240374235336,0.991546762589928,0.9902614968440036,0.998920474991004,0.9976610291471752,0.9973147153598282,0.9908421619680373,0.9991039426523297,0.9965907051857168,0.9962257368799425,0.9960559340265328,0.998745294855709,0.9985655370270755,0.9971387696709585,0.9947916666666666,0.9991042637047653,0.9976669059583633,0.9967660797700323
FPR,0.009867240760674561,0.004493978069387021,0.004679625629949604,0.007003052612677321,0.008105187319884726,0.002866869736606343,0.011121076233183856,0.004659498207885305,0.009525521207764199,0.006623702112423917,0.007529580494801004,0.0064469914040114614,0.009698275862068966,0.009000900090009001,0.0084304932735426,0.0052064631956912025,0.008994423457456376,0.006087735004476276,0.001804728388377549,0.007562117392870004,0.009853099247581511,0.008406367376140225,0.009175962576466355,0.008453237410071942,0.009738503155996394,0.0010795250089960418,0.002338970852824757,0.0026852846401718583,0.009157838031962651,0.0008960573476702509,0.003409294814283151,0.0037742631200575125,0.003944065973467192,0.0012547051442910915,0.0014344629729245114,0.002861230329041488,0.005208333333333333,0.0008957362952346829,0.002333094041636755,0.0032339202299676607
